,Mu(eV),Temp(K),ElCond_xx,ElCond_xy,ElCond_yy,ElCond_xz,ElCond_yz,ElCond_zz,Material,Parameter_el,Label,Plottag_el,Seebeck_xx,Seebeck_xy,Seebeck_xz,Seebeck_yx,Seebeck_yy,Seebeck_yz,Seebeck_zx,Seebeck_zy,Seebeck_zz,Parameter_sb,Plottag_sb,Kappa_xx,Kappa_xy,Kappa_yy,Kappa_xz,Kappa_yz,Kappa_zz,Parameter,Plottag,ZT
123,-3.3465000000000003,300.0,1722280.043,206.178764,1720315.736,295.4398246,265.9174833,1721545.028,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,4.10695215e-05,-2.454205505e-08,-7.977171854e-09,-2.454045063e-08,4.131944651e-05,-9.050592767e-09,-7.960916434e-09,-9.064217866e-09,4.116831685e-05,seebeck,CsPbI$_{3}$,14.288931,-3.538547502e-05,14.29459966,0.0003590141848,0.001024044839,14.29063714,kappa,CsPbI$_{3}$,0.06099083381714379
124,-3.2965000000000004,300.0,1414024.185,277.4245229,1412516.977,158.6461559,199.7823259,1413398.612,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,1.295664407e-05,4.892939226e-09,1.281926264e-08,4.889408079e-09,1.291786358e-05,6.03790314e-09,1.282390785e-08,6.039667987e-09,1.294307864e-05,seebeck,CsPbI$_{3}$,12.18429745,0.0005946615391,12.17361768,0.001050667311,0.001737386697,12.18070683,kappa,CsPbI$_{3}$,0.0058447058164591585
125,-3.2465,300.0,1373944.079,159.6207304,1372752.427,35.25044292,200.1845663,1373600.965,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,2.558472005e-05,-7.720788157e-11,1.215573012e-08,-8.703328848e-11,2.551844186e-05,-1.087514063e-08,1.215686237e-08,-1.086105761e-08,2.555927149e-05,seebeck,CsPbI$_{3}$,8.384887871,0.001663770463,8.378250499,0.000547416821,0.001593447295,8.380164532,kappa,CsPbI$_{3}$,0.032177654984883716
126,-3.1965000000000003,300.0,992839.6909,170.3404256,992241.0961,-65.78628245,239.0990954,992363.321,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,3.757768463e-05,-3.34208961e-09,4.253012859e-09,-3.341915553e-09,3.759522431e-05,-3.082307003e-09,4.252028508e-09,-3.073643582e-09,3.762749516e-05,seebeck,CsPbI$_{3}$,8.795243884,0.0008751953207,8.788995373,0.0006607748489,0.0009271690777,8.793541136,kappa,CsPbI$_{3}$,0.047820326109590375
127,-3.1465000000000005,300.0,869052.4738,115.3565268,868643.1554,-0.3117795907,143.2258512,868727.3569,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,2.008417876e-05,9.665866251e-09,-9.231430468e-09,9.657645295e-09,1.997655883e-05,1.732109337e-08,-9.234153042e-09,1.732470178e-08,2.001604251e-05,seebeck,CsPbI$_{3}$,6.79982149,0.0006161352907,6.798741082,-4.993361063e-05,0.0008482451957,6.798514678,kappa,CsPbI$_{3}$,0.0154659962139348
128,-3.0965000000000003,300.0,746684.9059,33.41133703,746992.3283,40.18412402,16.25878933,746685.2347,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,4.226231979e-06,1.521437435e-08,-3.895725334e-09,1.520850675e-08,4.218495839e-06,1.217280336e-08,-3.895172878e-09,1.217712152e-08,4.232497941e-06,seebeck,CsPbI$_{3}$,6.760569371,0.0002715768697,6.755943574,-7.332419086e-05,0.001013259009,6.758474964,kappa,CsPbI$_{3}$,0.0005918096156929725
129,-3.0465000000000004,300.0,818800.401,-61.43968813,818623.1511,23.9432393,7.620158595,818710.2111,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,8.024525628e-07,1.319775592e-08,3.552254987e-09,1.319732879e-08,8.416814549e-07,-1.051140563e-08,3.552574514e-09,-1.051154034e-08,7.772250254e-07,seebeck,CsPbI$_{3}$,5.283662207,0.0002704591108,5.285635186,0.0001653773307,0.0009503991046,5.2850498,kappa,CsPbI$_{3}$,2.99366357746215e-05
130,-2.9965,300.0,728113.1062,-68.90406278,728141.9621,23.86592995,146.6848731,728242.5354,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,6.962936141e-06,-1.446305469e-08,5.092206751e-09,-1.445876725e-08,6.909319973e-06,-1.017180335e-08,5.093491591e-09,-1.016996253e-08,6.911523713e-06,seebeck,CsPbI$_{3}$,6.244844609,0.0003538229534,6.244572919,-0.0002247472853,-0.0003613117484,6.248016803,kappa,CsPbI$_{3}$,0.0016958338167017155
131,-2.9465000000000003,300.0,781773.2216,52.68987869,781909.5626,-38.79801926,62.35033283,782257.8083,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-1.708391779e-05,-9.245278766e-09,5.539802371e-09,-9.243797033e-09,-1.705990399e-05,2.635175159e-08,5.545438609e-09,2.632748465e-08,-1.721610706e-05,seebeck,CsPbI$_{3}$,6.073889433,-0.0002875095718,6.07322375,3.255332621e-05,-7.660914836e-05,6.082819637,kappa,CsPbI$_{3}$,0.011269641707233232
132,-2.8965000000000005,300.0,869588.0265,65.31429647,869552.4636,-40.8147422,-67.7281463,871430.4633,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-7.896104939e-06,-5.220222051e-11,1.901873289e-09,-5.258375373e-11,-7.893035329e-06,1.618101037e-08,1.907404187e-09,1.616036259e-08,-8.074241179e-06,seebeck,CsPbI$_{3}$,6.157841029,2.120818304e-05,6.158948203,-0.0004721318406,-0.0003504554695,6.163604259,kappa,CsPbI$_{3}$,0.002641387729074427
