,Mu(eV),Temp(K),Seebeck_xx,Seebeck_xy,Seebeck_xz,Seebeck_yx,Seebeck_yy,Seebeck_yz,Seebeck_zx,Seebeck_zy,Seebeck_zz,Material,Parameter,Label
61,-0.95,350.0,-7.547979067e-07,-1.236179064e-09,9.962642804e-11,-1.236155172e-09,-7.568618031e-07,1.150453298e-09,9.959634648e-11,1.150281382e-09,-7.36646051e-07,CsPbBr3,seebeck,350K
62,-0.9,350.0,-6.236890677e-07,-5.201518659e-10,1.475677738e-10,-5.201444625e-10,-6.238037929e-07,-1.832328617e-10,1.475344436e-10,-1.833154656e-10,-6.155372112e-07,CsPbBr3,seebeck,350K
63,-0.85,350.0,1.616947262e-06,-1.506734948e-10,-2.036704944e-11,-1.506929807e-10,1.613967443e-06,-9.44399401e-10,-2.037776383e-11,-9.444457792e-10,1.617898543e-06,CsPbBr3,seebeck,350K
64,-0.8,350.0,2.168833319e-06,4.383300408e-10,1.675287505e-10,4.383044308e-10,2.167404655e-06,-1.095718002e-09,1.675265718e-10,-1.09573851e-09,2.166355368e-06,CsPbBr3,seebeck,350K
65,-0.75,350.0,4.510358126e-06,5.465718922e-10,-1.01808303e-09,5.465753931e-10,4.513791058e-06,-2.128165408e-09,-1.018056459e-09,-2.128227958e-09,4.508800374e-06,CsPbBr3,seebeck,350K
66,-0.7,350.0,6.676925246e-06,-1.961628325e-10,-1.609454859e-09,-1.961264406e-10,6.676550228e-06,-1.819679825e-09,-1.60939379e-09,-1.819694186e-09,6.674595353e-06,CsPbBr3,seebeck,350K
67,-0.65,350.0,1.056317836e-05,-1.027296761e-09,-2.211552777e-09,-1.027229439e-09,1.056121398e-05,-4.720623757e-10,-2.211492163e-09,-4.721262779e-10,1.055834762e-05,CsPbBr3,seebeck,350K
68,-0.6,350.0,1.72726682e-05,-1.175163426e-10,-1.07777378e-09,-1.175573824e-10,1.726845503e-05,-1.029484225e-09,-1.078041707e-09,-1.029711614e-09,1.726148907e-05,CsPbBr3,seebeck,350K
69,-0.55,350.0,2.94481353e-05,6.283324717e-10,2.136574399e-09,6.283153118e-10,2.945205655e-05,2.179788522e-09,2.135700127e-09,2.178809941e-09,2.943028707e-05,CsPbBr3,seebeck,350K
70,-0.5,350.0,4.990777162e-05,-5.119522e-10,2.624508721e-09,-5.119430637e-10,4.991058213e-05,2.221883431e-09,2.623373713e-09,2.220774854e-09,4.988651954e-05,CsPbBr3,seebeck,350K
71,-0.45,350.0,6.987298246e-05,-3.673961312e-09,3.676186255e-09,-3.67396113e-09,6.986848917e-05,2.642119004e-09,3.674868144e-09,2.641392419e-09,6.988503492e-05,CsPbBr3,seebeck,350K
72,-0.4,350.0,7.474925737e-05,-1.391955344e-08,6.647605539e-09,-1.391920809e-08,7.473783795e-05,9.780170682e-09,6.645959676e-09,9.778109933e-09,7.4757465e-05,CsPbBr3,seebeck,350K
73,-0.35,350.0,4.509538806e-05,-1.500736715e-08,-3.135115715e-09,-1.500584524e-08,4.509673494e-05,9.636732678e-09,-3.134012589e-09,9.634011372e-09,4.509417457e-05,CsPbBr3,seebeck,350K
74,-0.3,350.0,-7.566272416e-06,9.683505694e-09,-1.269767211e-08,9.68548187e-09,-7.545970338e-06,-1.009176732e-08,-1.269544859e-08,-1.009283733e-08,-7.542362342e-06,CsPbBr3,seebeck,350K
75,-0.25,350.0,-2.76942469e-05,9.894151499e-09,1.451758638e-09,9.89437652e-09,-2.769246565e-05,-7.008247891e-09,1.451578942e-09,-7.007930883e-09,-2.768593504e-05,CsPbBr3,seebeck,350K
76,-0.2,350.0,-1.753459538e-05,5.688287215e-09,4.746610866e-09,5.688291038e-09,-1.753651933e-05,-1.036466688e-09,4.746226022e-09,-1.036245256e-09,-1.753266676e-05,CsPbBr3,seebeck,350K
77,-0.15,350.0,-8.355935352e-06,3.308250142e-09,2.388715025e-09,3.308238173e-09,-8.357808553e-06,-2.300208733e-10,2.388560927e-09,-2.299171091e-10,-8.351279319e-06,CsPbBr3,seebeck,350K
78,-0.1,350.0,-1.193893843e-05,2.826984704e-09,-6.609969246e-11,2.826980433e-09,-1.193933862e-05,-1.559322608e-10,-6.611926614e-11,-1.559009494e-10,-1.193696573e-05,CsPbBr3,seebeck,350K
79,-0.05,350.0,-2.134838301e-05,1.531325057e-09,-1.435583583e-10,1.531337978e-09,-2.134827642e-05,-7.086047977e-10,-1.435550264e-10,-7.085716682e-10,-2.134856008e-05,CsPbBr3,seebeck,350K
